GPK	Generic	Shape	Route	DoseType	Dep	CVL	PVL	DiluentVol	Diluent	MinAge	MaxAge	MinWeight	MaxWeight	MinDose	MaxDose	Solutions	MinVol	MaxVol	MinPerc	MaxPerc	MinTime	MaxTime	MinRate	MaxRate	RateUnit	Substance	Unit	Quantities	MinQty	MaxQty	MinConc	MaxConc
123056	bevacizumab infopl conc 25mg/ml	concentraat voor oplossing voor infusie	iv		PICU			0								NaCl;gluc5;gluc10										bevacizumab						
123056	bevacizumab infopl conc 25mg/ml	concentraat voor oplossing voor infusie	iv		NICU			0								NaCl;gluc5;gluc10										bevacizumab						
4618	biperideen injvlst 5mg/ml	injectievloeistof	im		ICC			0								NaCl;gluc5;gluc10										biperideen						
4618	biperideen injvlst 5mg/ml	injectievloeistof	im		PICU			0								NaCl;gluc5;gluc10										biperideen						
4618	biperideen injvlst 5mg/ml	injectievloeistof	im		NICU			0								NaCl;gluc5;gluc10										biperideen						
4618	biperideen injvlst 5mg/ml	injectievloeistof	iv		ICC			0								NaCl;gluc5;gluc10										biperideen						
4618	biperideen injvlst 5mg/ml	injectievloeistof	iv		PICU			0								NaCl;gluc5;gluc10										biperideen						
4618	biperideen injvlst 5mg/ml	injectievloeistof	iv		NICU			0								NaCl;gluc5;gluc10										biperideen						
133671	bivalirudine pdr inj/infopl 250mg	poeder voor injectie/infusieoplossing	iv		ICC			1								NaCl;gluc5;gluc10										bivalirudine						
133671	bivalirudine pdr inj/infopl 250mg	poeder voor injectie/infusieoplossing	iv		PICU			1								NaCl;gluc5;gluc10										bivalirudine						
133671	bivalirudine pdr inj/infopl 250mg	poeder voor injectie/infusieoplossing	iv		NICU			1								NaCl;gluc5;gluc10										bivalirudine						
94110	botuline a toxine allergan injpdr 100e	poeder voor injectievloeistof	im		ICC			1								NaCl;gluc5;gluc10										botuline a toxine						
94110	botuline a toxine allergan injpdr 100e	poeder voor injectievloeistof	im		PICU			1								NaCl;gluc5;gluc10										botuline a toxine						
94110	botuline a toxine allergan injpdr 100e	poeder voor injectievloeistof	im		NICU			1								NaCl;gluc5;gluc10										botuline a toxine						
71277	bumetanide injvlst 0,5mg/ml	injectievloeistof	im		ICC			0								NaCl;gluc5;gluc10										bumetanide						
71277	bumetanide injvlst 0,5mg/ml	injectievloeistof	im		PICU			0								NaCl;gluc5;gluc10										bumetanide						
71277	bumetanide injvlst 0,5mg/ml	injectievloeistof	im		NICU			0								NaCl;gluc5;gluc10										bumetanide						
71277	bumetanide injvlst 0,5mg/ml	injectievloeistof	iv		ICC			0								NaCl;gluc5;gluc10										bumetanide						
71277	bumetanide injvlst 0,5mg/ml	injectievloeistof	iv		PICU			0								NaCl;gluc5;gluc10										bumetanide						
71277	bumetanide injvlst 0,5mg/ml	injectievloeistof	iv		NICU			0								NaCl;gluc5;gluc10										bumetanide						
147524	bupivacaine infvlst 1,25mg/ml (hcl)	infusievloeistof	iv		ICC			0								NaCl;gluc5;gluc10										bupivacaine						
147524	bupivacaine infvlst 1,25mg/ml (hcl)	infusievloeistof	iv		PICU			0								NaCl;gluc5;gluc10										bupivacaine						
147524	bupivacaine infvlst 1,25mg/ml (hcl)	infusievloeistof	iv		NICU			0								NaCl;gluc5;gluc10										bupivacaine						
187933	c1-esteraseremmer injpdr 500ie	poeder voor injectievloeistof	iv		ICC			1								NaCl;gluc5;gluc10										c1-esteraseremmer						
