GPK;ATC;HoofdGroep;SubGroep;Generiek;Product;Etiket;Vorm;Route;Sterkte;Eenheid;StandDose;DoseEenheid;Indicaties;InFormDb
160539;L04AB04;IMMUNOSUPPRESSIVA;IMMUNOSUPPRESSIVA;ADALIMUMAB;HUMIRA 40 INJVLST 100 MG/ML PEN 0,4 ML;ADALIMUMAB 100MG/ML INJVLST;injectievloeistof;sc;100.00;mg/ml;100.00;mg;Ziekte van Crohn||Polyarticulaire juveniele idiopathische artritis, enthesitis gerelateerde artritis, psoriasis, uveitis||Overige autoinflammatoire aandoeningen die niet reageren op de conventionele therapie, waaronder sarcoïdose, Blau syndroom en Chronische Recidiverende Multifocale Osteomyelitis (CRMO)/Synovitis, Acne, Pustulose, Hyperostose en Ostitis (SAPHO);160539
124567;D10AD03;ACNEPREPARATEN;ACNEPREPARATEN, LOKALE;ADAPALEEN;DIFFERIN 1 MG/ GRAM 60 GRAM;ADAPALEEN 1MG/G GEL;gel;cutaan;1.00;mg/gr;1.00;mg;Acne vulgaris;124567
92789;C01EB10;CARDIACA;OVERIGE CARDIACA;ADENOSINE;ADENOCOR 3MG/ML FLACON 2ML;ADENOSINE 3MG/ML INJVLST;injectievloeistof;iv;3.00;mg/ml;3.00;mg;Supraventriculaire tachycardie;92789
170933;C01CA24;CARDIACA;HARTSTIMULANTIA, EXCLUSIEF HARTGLYCOSIDEN;ADRENALINE;EPIPEN 0.15 MG AUTO-INJECTOR WWSP 0.3ML;ADRENALINE 0,5MG/ML INJVLST;injectievloeistof;im;0.50;mg/ml;0.50;mg;Reanimatie||Positief inotroop en chronotroop effect||Vasoconstrictie, toename bloeddruk||Laryngitis subglottica (pseudokroep)||Anafylactische shock;170933
170925;C01CA24;CARDIACA;HARTSTIMULANTIA, EXCLUSIEF HARTGLYCOSIDEN;ADRENALINE;ADRENALINE 1 MG/ML AMPUL 1ML;ADRENALINE 1MG/ML INJVLST;injectievloeistof;im;1.00;mg/ml;1.00;mg;Reanimatie||Positief inotroop en chronotroop effect||Vasoconstrictie, toename bloeddruk||Laryngitis subglottica (pseudokroep)||Anafylactische shock;170925
170976;C01CA24;CARDIACA;HARTSTIMULANTIA, EXCLUSIEF HARTGLYCOSIDEN;ADRENALINE;ADRENALINE 0,1 MG/ML INJVLST WWSP 10ML;ADRENALINE 0,1MG/ML INJVLST;injectievloeistof;im||iv||sc||card||trachpulm||intraoss;0.10;mg/ml;0.10;mg;Reanimatie||Positief inotroop en chronotroop effect||Vasoconstrictie, toename bloeddruk||Laryngitis subglottica (pseudokroep)||Anafylactische shock;170976
171212;N01BB52;ANAESTHETICA;ANAESTHETICA, LOKALE;LIDOCAINE/ADRENALINE;XYLOCAINE 1 % + ADRENALINE 1:200.000 20 ML;LIDOC/ADREN 10MG/5UG/ML INJ;injectievloeistof;epidur||perineur;5.00;mcg/ml;5.00;mcg;Glijmiddel voor catheters en bij scopieen;171212
171255;N01BB52;ANAESTHETICA;ANAESTHETICA, LOKALE;LIDOCAINE/ADRENALINE;XYLOCAINE 2% + ADRENALINE 1:200.000 20ML;LIDOC/ADREN 20MG/5UG/ML INJ;injectievloeistof;epidur||perineur;5.00;mcg/ml;5.00;mcg;Glijmiddel voor catheters en bij scopieen;171255
128295;B05AA01;BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN;BLOEDPRODUCTEN EN VERWANTE MIDDELEN;ALBUMINE;ALBUMAN 40 MG/ML FLACON 100 ML;ALBUMINE 40MG/ML INFVLST;infusievloeistof;iv;40.00;mg/ml;40.00;mg;Hypovolumie met aangetoonde hypoalbuminemie als co-morbiditeit||Ernstige hyperbilirubinemie;128295
11975;B05AA01;BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN;BLOEDPRODUCTEN EN VERWANTE MIDDELEN;ALBUMINE;ALBUMAN 200 MG/ML INFUSIEVLST 10 ML;ALBUMINE 200MG/ML INFVLST;infusievloeistof;iv;200.00;mg/ml;200.00;mg;Hypovolumie met aangetoonde hypoalbuminemie als co-morbiditeit||Ernstige hyperbilirubinemie;11975
154784;M05BA04;MIDDELEN BIJ BOTZIEKTEN;BOTSTRUCTUUR EN BOTMINERALISATIEBEINVLOEDENDE MIDDELEN;ALENDRONINEZUUR;ALENDRONINEZUUR 10 MG TABLET;ALENDRONINEZUUR 10MG TABLET;tablet;or;10.00;mg/stuk;10.00;mg;Osteogenesis imperfecta, remming botresoptie;154784
154792;M05BA04;MIDDELEN BIJ BOTZIEKTEN;BOTSTRUCTUUR EN BOTMINERALISATIEBEINVLOEDENDE MIDDELEN;ALENDRONINEZUUR;ALENDRONINEZUUR 70 MG TABLET;ALENDRONINEZUUR 70MG TABL;tablet;or;70.00;mg/stuk;70.00;mg;Osteogenesis imperfecta, remming botresoptie;154792
36331;A11CC03;VITAMINEN;VITAMINEN A EN D, INCLUSIEF COMBINATIES VAN DEZE TWEE;ALFACALCIDOL;ALFACALCIDOL 0,25 MICROGRAM CAPSULE;ALFACALCIDOL 0,25UG CAPSULE;capsule;or;0.25;mcg/stuk;0.25;mcg;Osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 3 en 4 (predialysepatiënten):||Osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 5 (dialysepatiënten)||Rachitis||Chronische hypocalciemie;36331
11509;A11CC03;VITAMINEN;VITAMINEN A EN D, INCLUSIEF COMBINATIES VAN DEZE TWEE;ALFACALCIDOL;ETALPHA 1 MICROGRAM CAPSULE;ALFACALCIDOL 1UG CAPSULE;capsule;or;1.00;mcg/stuk;1.00;mcg;Osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 3 en 4 (predialysepatiënten):||Osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 5 (dialysepatiënten)||Rachitis||Chronische hypocalciemie;11509
45411;A11CC03;VITAMINEN;VITAMINEN A EN D, INCLUSIEF COMBINATIES VAN DEZE TWEE;ALFACALCIDOL;ETALPHA 2 MICROG/ML DRUPPELS 20ML;ALFACALCIDOL 2UG/ML DRUPPEL;druppels voor oraal gebruik;or;2.00;mcg/ml;2.00;mcg;Osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 3 en 4 (predialysepatiënten):||Osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 5 (dialysepatiënten)||Rachitis||Chronische hypocalciemie;45411
85839;A11CC03;VITAMINEN;VITAMINEN A EN D, INCLUSIEF COMBINATIES VAN DEZE TWEE;ALFACALCIDOL;ETALPHA 2 MICROG/ ML AMPUL 0,5 ML;ALFACALCIDOL 2UG/ML INJVLST;injectievloeistof;iv;2.00;mcg/ml;2.00;mcg;Osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 3 en 4 (predialysepatiënten):||Osteodystrofie, secundaire hyperparathyroïdie bij chronische nierziekte stadium 5 (dialysepatiënten)||Rachitis||Chronische hypocalciemie;85839
44644;N01AH02;ANAESTHETICA;ALGEMENE ANAESTHETICA;ALFENTANIL;RAPIFEN 0,5MG/ML AMPUL 10ML;ALFENTANIL 0,5MG/ML INJVLST;injectievloeistof;iv;0.50;mg/ml;0.50;mg;Pijnstilling bij spontaan ademend kind||Pijnstilling tijdens anaesthesie (aan beademing);44644
18058;R06AD01;ANTIHISTAMINICA VOOR SYSTEMISCH GEBRUIK;ANTIHISTAMINICA VOOR SYSTEMISCH GEBRUIK;ALIMEMAZINE;NEDELTRAN 5 MG TABLET;ALIMEMAZINE 5MG TABLET;tablet;or;5.00;mg/stuk;5.00;mg;Premedicatie||Allergische aandoeningen waarbij niet-sederende antihistaminica niet of onvoldoende effectief zijn gebleken||Als adjuvans bij andere sedativa;18058
2224;M04AA01;JICHTMIDDELEN;JICHTMIDDELEN;ALLOPURINOL;ALLOPURINOL 100 MG TABLET;ALLOPURINOL 100MG TABLET;tablet;or;100.00;mg/stuk;50.00;mg;Glycogeen stapelingsziekte||Hyperurikemie, tumor lysis syndroom ||Lesch-Nyhan, HPRT deficientie;2224
12467;M04AA01;JICHTMIDDELEN;JICHTMIDDELEN;ALLOPURINOL;ALLOPURINOL 300 MG TABLET;ALLOPURINOL 300MG TABLET;tablet;or;300.00;mg/stuk;300.00;mg;Glycogeen stapelingsziekte||Hyperurikemie, tumor lysis syndroom ||Lesch-Nyhan, HPRT deficientie;12467
82309;N05BA12;PSYCHOLEPTICA;ANXIOLYTICA;ALPRAZOLAM;ALPRAZOLAM 0,25 MG TABLET;ALPRAZOLAM 0,25MG TABLET;tablet;or;0.25;mg/stuk;0.13;mg;Premedicatie||Kortdurende behandeling van acute angst en plotselinge extreme slapeloosheid ;82309
82317;N05BA12;PSYCHOLEPTICA;ANXIOLYTICA;ALPRAZOLAM;ALPRAZOLAM 0,5 MG TABLET;ALPRAZOLAM 0,5MG TABLET;tablet;or;0.50;mg/stuk;0.25;mg;Premedicatie||Kortdurende behandeling van acute angst en plotselinge extreme slapeloosheid ;82317
103608;N05BA12;PSYCHOLEPTICA;ANXIOLYTICA;ALPRAZOLAM;XANAX 0,5 MG TABLET RETARD;ALPRAZOLAM 0,5MG TABLET MGA;tablet met gereguleerde afgifte;or;0.50;mg/stuk;0.50;mg;Premedicatie||Kortdurende behandeling van acute angst en plotselinge extreme slapeloosheid ;103608
103616;N05BA12;PSYCHOLEPTICA;ANXIOLYTICA;ALPRAZOLAM (RETARD);XANAX 1 MG TABLET MGA (RETARD);ALPRAZOLAM 1MG TABLET MGA;tablet met gereguleerde afgifte;or;1.00;mg/stuk;1.00;mg;Premedicatie||Kortdurende behandeling van acute angst en plotselinge extreme slapeloosheid ;103616
65498;C01EA01;CARDIACA;OVERIGE CARDIACA;ALPROSTADIL;PROSTIN VR INF 0,5MG/ML AMP;ALPROSTADIL 0,5MG/ML INFCON;concentraat voor oplossing voor infusie;iv;0.50;mg/ml;0.50;mg;Openhouden ductus arteriosus, in afwachting van operatie;65498
89664;B01AD02;ANTITHROMBOTICA;ANTITHROMBOTICA;ALTEPLASE;ACTILYSE 20 MG POEDER VOOR INJECTIE;ALTEPLASE 20MG INFPDR;poeder voor oplossing voor infusie;iv;20.00;mg/stuk;20.00;mg;Trombolyse;89664
69205;B01AD02;ANTITHROMBOTICA;ANTITHROMBOTICA;ALTEPLASE;ACTILYSE 50 MG POEDER VOOR INJECTIE;ALTEPLASE 50MG INFPDR;poeder voor oplossing voor infusie;iv;50.00;mg/stuk;50.00;mg;Trombolyse;69205
106488;J02AA01;ANTIMYCOTICA VOOR SYSTEMISCH GEBRUIK;ANTIMYCOTICA VOOR SYSTEMISCH GEBRUIK;AMFOTERICINE B;ABELCET 5 MG/ML FLACON 20ML;AMFOTERICINE LIPC 5MG/ML IC;concentraat voor oplossing voor infusie;iv;5.00;mg/ml;5.00;mg;Selectieve darmdecontaminatie, stomatitis mycotica en (profylaxe) intestinale schimmelinfecties||Systemische mycosen||Pulmirespiratoire mycosen||Viscerale Leishmaniasis;106488
92266;J02AA01;ANTIMYCOTICA VOOR SYSTEMISCH GEBRUIK;ANTIMYCOTICA VOOR SYSTEMISCH GEBRUIK;AMFOTERICINE B;AMBISOME 50 MG POEDER VOOR INFUSIE;AMFOTERICINE LIP 50MG INFP;poeder voor oplossing voor infusie;iv;50.00;mg/stuk;50.00;mg;Selectieve darmdecontaminatie, stomatitis mycotica en (profylaxe) intestinale schimmelinfecties||Systemische mycosen||Pulmirespiratoire mycosen||Viscerale Leishmaniasis;92266
65986;J02AA01;ANTIMYCOTICA VOOR SYSTEMISCH GEBRUIK;ANTIMYCOTICA VOOR SYSTEMISCH GEBRUIK;AMFOTERICINE B;FUNGIZONE 50 MG POEDER VOOR INFUSIE;AMFOTERICINE B 50MG INFPDR;poeder voor oplossing voor infusie;iv;50.00;mg/stuk;50.00;mg;Selectieve darmdecontaminatie, stomatitis mycotica en (profylaxe) intestinale schimmelinfecties||Systemische mycosen||Pulmirespiratoire mycosen||Viscerale Leishmaniasis;65986
86649;J01GB06;ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;AMINOGLYCOSIDEN;AMIKACINE;AMIKACINE 250 MG/ML FLACON 2 ML;AMIKACINE 250MG/ML INJVLST;injectievloeistof;im||iv;250.00;mg/ml;250.00;mg;Infecties bij Cystic Fibrosis||Kortdurende behandeling van ernstige infecties veroorzaakt door voor amikacine gevoelige stammen van Gram negatieve micro-organismen, inclusief Pseudomonas species, speciaal indien deze resistent zijn tegen andere aminoglycosiden ;86649
65366;C01BD01;CARDIACA;ANTI-ARITMISCHE MIDDELEN KLASSE I EN III;AMIODARON;CORDARONE  50MG/ML AMPUL 3 ML;AMIODARON 50MG/ML INJVLST;injectievloeistof;iv;50.00;mg/ml;50.00;mg;Ernstige therapieresistente hartritmestoornissen;65366
5886;C01BD01;CARDIACA;ANTI-ARITMISCHE MIDDELEN KLASSE I EN III;AMIODARON;AMIODARON 200 MG TABLET;AMIODARON 200MG TABLET;tablet;or;200.00;mg/stuk;100.00;mg;Ernstige therapieresistente hartritmestoornissen;5886
21695;N06AA09;PSYCHOANALEPTICA;ANTIDEPRESSIVA;AMITRIPTYLINE;AMITRIPTYLINE 25 MG TABLET (HCL);AMITRIPTYLINE 25MG TABLET;tablet;or;25.00;mg/stuk;25.00;mg;Enuresis nocturna;21695
21687;N06AA09;PSYCHOANALEPTICA;ANTIDEPRESSIVA;AMITRIPTYLINE;AMITRIPTYLINE HCL 10 MG TABLET;AMITRIPTYLINE 10MG TABLET;tablet;or;10.00;mg/stuk;10.00;mg;Enuresis nocturna;21687
21695;N06AA09;PSYCHOANALEPTICA;ANTIDEPRESSIVA;AMITRIPTYLINE;AMITRIPTYLINE 25 MG TABLET (HCL);AMITRIPTYLINE 25MG TABLET;tablet;or;25.00;mg/stuk;25.00;mg;Enuresis nocturna;21695
155616;C08CA01;CALCIUMANTAGONISTEN;SELECTIEVE CALCIUMANTAGONISTEN MET VNL VASCULAIRE WERKING;AMLODIPINE;AMLODIPINE 5 MG TABLET;AMLODIPINE 5MG TABLET;tablet;or;5.00;mg/stuk;5.00;mg;Hypertensie;155616
155624;C08CA01;CALCIUMANTAGONISTEN;SELECTIEVE CALCIUMANTAGONISTEN MET VNL VASCULAIRE WERKING;AMLODIPINE;AMLODIPINE 10 MG TABLET;AMLODIPINE 10MG TABLET;tablet;or;10.00;mg/stuk;10.00;mg;Hypertensie;155624
15423;J01CA04;ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;BETALACTAM-ANTIBIOTICA, PENICILLINES;AMOXICILLINE;AMOXICILLINE 500MG CAPSULE;AMOXICILLINE 500MG CAPSULE;capsule;or;500.00;mg/stuk;500.00;mg;Ernstige infecties||Infecties||Meningitis||Eradicatie H.Pylori (triple therapie)||Endocarditis profylaxe (ingrepen in mondholte, bovenste luchtwegen, tractus urogenitalis en tractus digestivus)||Vroege gelokaliseerde en gedissemineerde Lymeziekte, m.u.v. meningitis en lymecarditis||Postexpositieprofylaxe antrax;15423
117056;J01CA04;ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;BETALACTAM-ANTIBIOTICA, PENICILLINES;AMOXICILLINE;AMOXICILLINE 250 MG DISPER TABLET;AMOXICILLINE 250MG DISPTAB;dispergeerbare tablet;or;250.00;mg/stuk;125.00;mg;Ernstige infecties||Infecties||Meningitis||Eradicatie H.Pylori (triple therapie)||Endocarditis profylaxe (ingrepen in mondholte, bovenste luchtwegen, tractus urogenitalis en tractus digestivus)||Vroege gelokaliseerde en gedissemineerde Lymeziekte, m.u.v. meningitis en lymecarditis||Postexpositieprofylaxe antrax;117056
117072;J01CA04;ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;BETALACTAM-ANTIBIOTICA, PENICILLINES;AMOXICILLINE;AMOXICILLINE 375 MG DISPER TABLET;AMOXICILLINE 375MG DISPTAB;dispergeerbare tablet;or;375.00;mg/stuk;375.00;mg;Ernstige infecties||Infecties||Meningitis||Eradicatie H.Pylori (triple therapie)||Endocarditis profylaxe (ingrepen in mondholte, bovenste luchtwegen, tractus urogenitalis en tractus digestivus)||Vroege gelokaliseerde en gedissemineerde Lymeziekte, m.u.v. meningitis en lymecarditis||Postexpositieprofylaxe antrax;117072
117099;J01CA04;ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;BETALACTAM-ANTIBIOTICA, PENICILLINES;AMOXICILLINE;AMOXICILLINE 750 MG DISPER TABLET;AMOXICILLINE 750MG DISPTAB;dispergeerbare tablet;or;750.00;mg/stuk;750.00;mg;Ernstige infecties||Infecties||Meningitis||Eradicatie H.Pylori (triple therapie)||Endocarditis profylaxe (ingrepen in mondholte, bovenste luchtwegen, tractus urogenitalis en tractus digestivus)||Vroege gelokaliseerde en gedissemineerde Lymeziekte, m.u.v. meningitis en lymecarditis||Postexpositieprofylaxe antrax;117099
13730;J01CA04;ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;BETALACTAM-ANTIBIOTICA, PENICILLINES;AMOXICILLINE;AMOXICILLINE 250 MG POEDER VOOR INJECTIE;AMOXICILLINE 250MG INJPDR;poeder voor injectievloeistof;im||iv;250.00;mg/stuk;250.00;mg;Ernstige infecties||Infecties||Meningitis||Eradicatie H.Pylori (triple therapie)||Endocarditis profylaxe (ingrepen in mondholte, bovenste luchtwegen, tractus urogenitalis en tractus digestivus)||Vroege gelokaliseerde en gedissemineerde Lymeziekte, m.u.v. meningitis en lymecarditis||Postexpositieprofylaxe antrax;13730
13749;J01CA04;ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;BETALACTAM-ANTIBIOTICA, PENICILLINES;AMOXICILLINE;AMOXICILLINE 500 MG POEDER VOOR INJECTIE;AMOXICILLINE 500MG INJPDR;poeder voor injectievloeistof;im||iv;500.00;mg/stuk;500.00;mg;Ernstige infecties||Infecties||Meningitis||Eradicatie H.Pylori (triple therapie)||Endocarditis profylaxe (ingrepen in mondholte, bovenste luchtwegen, tractus urogenitalis en tractus digestivus)||Vroege gelokaliseerde en gedissemineerde Lymeziekte, m.u.v. meningitis en lymecarditis||Postexpositieprofylaxe antrax;13749
13757;J01CA04;ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;BETALACTAM-ANTIBIOTICA, PENICILLINES;AMOXICILLINE;AMOXICILLINE 1000 MG POEDER VOOR INJECTIE;AMOXICILLINE 1000MG INJPDR;poeder voor injectievloeistof;im||iv;1.000.00;mg/stuk;1.000.00;mg;Ernstige infecties||Infecties||Meningitis||Eradicatie H.Pylori (triple therapie)||Endocarditis profylaxe (ingrepen in mondholte, bovenste luchtwegen, tractus urogenitalis en tractus digestivus)||Vroege gelokaliseerde en gedissemineerde Lymeziekte, m.u.v. meningitis en lymecarditis||Postexpositieprofylaxe antrax;13757
13714;J01CA04;ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;BETALACTAM-ANTIBIOTICA, PENICILLINES;AMOXICILLINE;AMOXICILLINE 50 MG/ML SUSPENSIE 100ML;AMOXICILLINE 50MG/ML SUSP;suspensie voor oraal gebruik;or;50.00;mg/ml;50.00;mg;Ernstige infecties||Infecties||Meningitis||Eradicatie H.Pylori (triple therapie)||Endocarditis profylaxe (ingrepen in mondholte, bovenste luchtwegen, tractus urogenitalis en tractus digestivus)||Vroege gelokaliseerde en gedissemineerde Lymeziekte, m.u.v. meningitis en lymecarditis||Postexpositieprofylaxe antrax;13714
53813;J01CR02;ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;BETALACTAM-ANTIBIOTICA, PENICILLINES;AMOXICILLINE/CLAVULAANZUUR;AMOXICILLINE 500 MG (+ CLAV 50MG) PINJ;AMOX/CLAV 500/50MG INJPDR;poeder voor injectievloeistof;iv;500.00;mg/stuk;500.00;mg;Infecties||Chirurgische profylaxe bij ingrepen < 1 uur||Chirurgische profylaxe bij ingrepen > 1 uur;53813
